time_h,fixed_load_kwh,pvmax_kwh,ev_asap_kwh,ev_smart_kwh,grid_baseline_kw,grid_smart_kw,bess_ch_smart_kwh,bess_dch_smart_kwh,battery_energy_smart_kwh
0.0,6.4394614565505455,0.0,0.0,0.0,6.4394614565505455,6.4394614565505455,0.0,0.0,3.2880000000000003
1.0,5.929084113630426,0.0,0.0,0.0,5.929084113630426,5.929084113630426,0.0,0.0,3.2880000000000003
2.0,5.433887098463398,0.0,0.0,0.0,5.433887098463398,5.433887098463398,0.0,0.0,3.2880000000000003
3.0,5.4583422033738325,0.0,0.0,0.0,8.145873320022298,5.4583422033738325,-0.0,0.0,3.2880000000000003
4.0,5.759480638274847,0.0,0.0,0.0,5.759480638274847,5.759480638274847,0.0,0.0,3.2880000000000003
5.0,7.256388501641179,0.0,0.0,0.0,7.256388501641179,7.256388501641179,0.0,0.0,3.2880000000000003
6.0,12.269328866430095,0.0,0.0,0.0,12.269328866430095,12.269328866430095,0.0,0.0,3.2880000000000003
7.0,14.959378976954062,0.699407,2.0640064536368934,0.0,16.323978430590955,14.259971976954061,0.0,0.0,3.2880000000000003
8.0,11.794858781372698,7.776293,16.052892408018234,0.0,20.071458189390935,4.018565781372698,0.0,0.0,3.2880000000000003
9.0,10.720355687452264,11.165279,33.9274752228087,30.238854900283435,33.482551910260966,29.7939315877357,0.0,0.0,3.2880000000000003
10.0,8.36598886239584,24.505772,44.75999781240212,45.93371472533987,28.620214674797957,29.793931587735706,0.0,0.0,3.2880000000000003
11.0,8.572336815288416,30.717619,36.99388490292656,51.93921377244728,14.848602718214977,29.7939315877357,0.0,0.0,3.2880000000000003
12.0,8.650460882883939,30.031799000000003,35.512700346142424,51.17526970485177,14.131362229026362,29.79393158773571,0.0,0.0,3.2880000000000003
13.0,8.263156602632593,26.008106,51.65083874820876,47.53888098510311,33.90588935084135,29.793931587735702,0.0,0.0,3.2880000000000003
14.0,8.214789440084367,15.960196000000002,43.82819611524224,37.539338147651335,33.90588935084135,29.7939315877357,0.0,0.0,3.2880000000000003
15.0,7.941041823412513,1.781838,13.56603795729569,23.634727764323188,19.725241780708203,29.7939315877357,0.0,0.0,3.2880000000000003
16.0,9.073994247688375,0.0,5.477772177102081,0.0,14.551766424790458,9.073994247688375,0.0,0.0,3.2880000000000003
17.0,11.491495496076263,0.0,3.7489793131699325,0.0,15.240474809246196,11.491495496076263,0.0,0.0,3.2880000000000003
18.0,15.035349501019546,0.0,0.4172185430463577,0.0,15.452568044065904,15.035349501019546,0.0,0.0,3.2880000000000003
19.0,15.994856809876534,0.0,0.0,0.0,15.994856809876534,15.994856809876534,0.0,0.0,3.2880000000000003
20.0,17.505512775541987,0.0,0.0,0.0,17.505512775541987,17.505512775541987,0.0,0.0,3.2880000000000003
21.0,16.366508227247156,0.0,0.0,0.0,16.366508227247156,16.366508227247156,0.0,0.0,3.2880000000000003
22.0,12.644168450341496,0.0,0.0,0.0,12.644168450341496,12.644168450341496,0.0,0.0,3.2880000000000003
23.0,8.479059868055643,0.0,0.0,0.0,8.479059868055643,8.479059868055643,0.0,0.0,3.2880000000000003
