day,sessions,building_load_kwh,ev_energy_kwh,pv_available_kwh,baseline_cost_eur,smart_cost_eur,cost_saving_eur,cost_saving_percent,baseline_import_kwh,smart_import_kwh,import_reduction_kwh,import_reduction_percent,baseline_export_kwh,smart_export_kwh,baseline_peak_kw,smart_peak_kw,peak_reduction_kw,peak_reduction_percent,baseline_pv_used_kwh,smart_pv_used_kwh,baseline_pv_util_percent,smart_pv_util_percent,smart_battery_throughput_kwh,smart_equivalent_cycles
183,5,290.98022253212145,55.0,115.55031799999999,50.211683857544195,49.73915928777844,0.47252456976575274,0.9410649742525155,232.51230453212148,232.51230453212148,0.0,0.0,0.0,3.552713678800501e-15,15.65979928655501,15.65979928655501,0.0,0.0,115.55031799999999,115.55031799999999,100.0,100.0,19.837600000000002,0.6033333333333334
23,25,242.61928612668802,288.0,148.646309,58.87400022576809,56.94663538631034,1.927364839457752,3.27371137015789,382.48360803885123,381.97297712668797,0.5106309121632648,0.1335039989769697,0.0,0.0,33.90588935084135,29.79393158773571,4.111957763105639,12.127562030764441,148.646309,148.646309,100.0,100.0,0.0,0.0
153,35,266.03806252662696,463.0,400.151384,42.353166086382906,36.967159167946775,5.386006918436131,12.716893248195209,331.46749436742994,330.96907852662696,0.4984158408029771,0.15036643087858437,3.552713678800501e-15,1.4210854715202004e-14,41.539674933414375,42.79888512370464,-1.2592101902902684,-3.03134338992471,400.151384,400.151384,100.0,100.0,19.837600000000002,0.6033333333333334
