day,sessions,building_load_kwh,ev_energy_kwh,pv_available_kwh,baseline_cost_eur,smart_cost_eur,cost_saving_eur,cost_saving_percent,baseline_import_kwh,smart_import_kwh,import_reduction_kwh,import_reduction_percent,baseline_export_kwh,smart_export_kwh,baseline_peak_kw,smart_peak_kw,peak_reduction_kw,peak_reduction_percent,baseline_pv_used_kwh,smart_pv_used_kwh,baseline_pv_util_percent,smart_pv_util_percent,smart_battery_throughput_kwh,smart_equivalent_cycles
183,5,290.98,55.0,115.55,50.21,49.74,0.47,0.94,232.51,232.51,0.0,0.0,0.0,0.0,15.66,15.66,0.0,0.0,115.55,115.55,100.0,100.0,19.84,0.6
23,25,242.62,288.0,148.65,58.87,56.95,1.93,3.27,382.48,381.97,0.51,0.13,0.0,0.0,33.91,29.79,4.11,12.13,148.65,148.65,100.0,100.0,0.0,0.0
153,35,266.04,463.0,400.15,42.35,36.97,5.39,12.72,331.47,330.97,0.5,0.15,0.0,0.0,41.54,42.8,-1.26,-3.03,400.15,400.15,100.0,100.0,19.84,0.6
