time_h,fixed_load_kwh,pvmax_kwh,ev_asap_kwh,ev_smart_kwh,grid_baseline_kw,grid_smart_kw,bess_ch_smart_kwh,bess_dch_smart_kwh,battery_energy_smart_kwh
0.0,6.592320754896371,0.0,0.0,0.0,6.592320754896371,6.592320754896371,0.0,0.0,3.2880000000000003
1.0,6.00230389647899,0.0,0.0,0.0,6.00230389647899,6.00230389647899,0.0,0.0,3.2880000000000003
2.0,5.944887036841159,0.0,0.0,0.0,5.944887036841159,5.944887036841159,0.0,0.0,3.2880000000000003
3.0,6.263487469082596,0.0,0.0,0.0,6.263487469082596,6.263487469082596,0.0,0.0,3.2880000000000003
4.0,7.140055767798304,0.42960800000000005,0.0,0.0,6.710447767798304,6.710447767798304,0.0,0.0,3.2880000000000003
5.0,12.19372610135745,9.140169,0.37168141592920356,0.0,3.425238517286653,3.05355710135745,0.0,0.0,3.2880000000000003
6.0,15.383699018728564,20.760289,2.753348713887263,5.376589981271435,0.0,0.0,0.0,0.0,3.2880000000000003
7.0,13.49835457823519,31.764465,23.177386476183333,18.266110421764807,4.911276054418522,-3.552713678800501e-15,0.0,0.0,3.2880000000000003
8.0,12.493879083025265,39.254784,38.91433025496672,26.760904916974745,12.153425337991983,7.105427357601002e-15,0.0,0.0,3.2880000000000003
9.0,9.999238346508346,45.224006,74.09293713928362,28.93476765349165,38.86816948579197,-7.105427357601002e-15,6.29,0.0,8.949000000000002
10.0,10.040808470314603,45.095253,82.88411946309978,35.0544445296854,41.539674933414375,0.0,0.0,0.0,8.949000000000002
11.0,10.103829903666057,47.595261,77.28509019197435,75.62031622003857,39.7936590956404,42.79888512370463,4.67,0.0,13.152000000000001
12.0,9.8217181830925,41.814963,65.33283752943457,74.79212994061214,33.33959271252707,42.79888512370464,0.0,0.0,13.152000000000001
13.0,9.492670689416164,33.05523,45.84301027392206,66.36144443428847,28.570450963338224,42.79888512370463,0.0,0.0,13.152000000000001
14.0,9.18966945374383,34.587326000000004,30.469845667778817,68.1965416699608,7.31482460615382,42.79888512370462,-0.0,0.0,13.152000000000001
15.0,10.53515927619262,25.96411,13.556153614281024,58.22783584751201,0.0,42.79888512370462,-0.0,0.0,13.152000000000001
16.0,12.388114615600024,17.797029,4.854346978557505,5.4089143843999725,-3.552713678800501e-15,-3.552713678800501e-15,0.0,0.0,13.152000000000001
17.0,16.269625821317756,6.557345,2.6315789473684212,0.0,12.343859768686178,9.712280821317757,0.0,0.0,13.152000000000001
18.0,16.999282444956883,1.1115460000000001,0.8333333333333334,0.0,16.721069778290214,15.887736444956882,0.0,0.0,13.152000000000001
19.0,18.30776536710794,0.0,0.0,0.0,13.59533994052676,12.017765367107941,0.0,6.29,6.163111111111112
20.0,17.229943821485094,0.0,0.0,0.0,17.229943821485094,14.642343821485094,0.0,2.5876000000000006,3.2880000000000003
21.0,13.547138689336895,0.0,0.0,0.0,13.547138689336895,13.547138689336895,0.0,0.0,3.2880000000000003
22.0,9.36351440129044,0.0,0.0,0.0,9.36351440129044,9.36351440129044,0.0,0.0,3.2880000000000003
23.0,7.236869336153945,0.0,0.0,0.0,7.236869336153945,7.236869336153945,0.0,0.0,3.2880000000000003
