timestamp,base_profile_value,scaled_power_kw,scaled_energy_kwh
2023-01-01 00:00:00,7.66672230542e-05,7.334216559034042,7.334216559034042
2023-01-01 01:00:00,7.61477044593e-05,7.284517851690123,7.284517851690123
2023-01-01 02:00:00,6.38693684838e-05,6.109935397265849,6.109935397265849
2023-01-01 03:00:00,6.35672915623e-05,6.081037812724394,6.081037812724394
2023-01-01 04:00:00,6.66960346998e-05,6.38034276748706,6.38034276748706
2023-01-01 05:00:00,7.17934978111e-05,6.867981381103359,6.867981381103359
2023-01-01 06:00:00,0.000111417241283,10.658507552855784,10.658507552855784
2023-01-01 07:00:00,0.000140631421755,13.453223699348763,13.453223699348763
2023-01-01 08:00:00,0.000148618415045,14.21728343845004,14.21728343845004
2023-01-01 09:00:00,0.000119758246731,11.45643315702782,11.45643315702782
2023-01-01 10:00:00,9.44584784883e-05,9.036181427626374,9.036181427626374
2023-01-01 11:00:00,9.06882547909e-05,8.675510518061994,8.675510518061994
2023-01-01 12:00:00,8.95942227011e-05,8.570852126255454,8.570852126255454
2023-01-01 13:00:00,7.93032719203e-05,7.586388901711769,7.586388901711769
2023-01-01 14:00:00,7.89998585583e-05,7.5573634692627625,7.5573634692627625
2023-01-01 15:00:00,7.85979109126e-05,7.518911951632163,7.518911951632163
2023-01-01 16:00:00,9.94723633668e-05,9.515824696758328,9.515824696758328
2023-01-01 17:00:00,0.000116952419539,11.18801931035952,11.18801931035952
2023-01-01 18:00:00,0.00015902651059,15.212953082571394,15.212953082571394
2023-01-01 19:00:00,0.00016825033522,16.095331818151095,16.095331818151095
2023-01-01 20:00:00,0.000180305864639,17.24859992896091,17.24859992896091
2023-01-01 21:00:00,0.000164982349003,15.78270645267422,15.78270645267422
2023-01-01 22:00:00,0.000136847251598,13.091218629619666,13.091218629619666
2023-01-01 23:00:00,9.44324955236e-05,9.033695819274278,9.033695819274278
2023-01-02 00:00:00,6.86032329481e-05,6.562791073514186,6.562791073514186
2023-01-02 01:00:00,6.25426920262e-05,5.983021547302458,5.983021547302458
2023-01-02 02:00:00,5.67821732511e-05,5.431953039720059,5.431953039720059
2023-01-02 03:00:00,5.6414656544e-05,5.39679528896875,5.39679528896875
2023-01-02 04:00:00,5.93610589807e-05,5.678656985270787,5.678656985270787
2023-01-02 05:00:00,7.59905133025e-05,7.269480474057164,7.269480474057164
2023-01-02 06:00:00,0.000130047119379,12.44069758115346,12.44069758115346
2023-01-02 07:00:00,0.000162227590326,15.519177973356365,15.519177973356365
2023-01-02 08:00:00,0.000125147567002,11.9719917021125,11.9719917021125
2023-01-02 09:00:00,0.000114076206202,10.912872113902084,10.912872113902084
2023-01-02 10:00:00,8.84821228778e-05,8.464465320859105,8.464465320859105
2023-01-02 11:00:00,9.02262867145e-05,8.63131726596934,8.63131726596934
2023-01-02 12:00:00,9.10213042464e-05,8.70737102812349,8.70737102812349
2023-01-02 13:00:00,8.723219944e-05,8.344893895028843,8.344893895028843
2023-01-02 14:00:00,8.70898995506e-05,8.33128106070917,8.33128106070917
2023-01-02 15:00:00,8.47255674155e-05,8.105101955669095,8.105101955669095
2023-01-02 16:00:00,0.000102334378897,9.789613688423854,9.789613688423854
2023-01-02 17:00:00,0.000122361409332,11.705459500927287,11.705459500927287
2023-01-02 18:00:00,0.000159774883036,15.284544635873093,15.284544635873093
2023-01-02 19:00:00,0.000169093161965,16.17595915305803,16.17595915305803
2023-01-02 20:00:00,0.000184564555905,17.65599911154027,17.65599911154027
2023-01-02 21:00:00,0.000172440269861,16.496153535713084,16.496153535713084
2023-01-02 22:00:00,0.000133502270619,12.771227714225583,12.771227714225583
2023-01-02 23:00:00,8.97087908542e-05,8.58181205948546,8.58181205948546
2023-01-03 00:00:00,6.80510240232e-05,6.509965111131477,6.509965111131477
2023-01-03 01:00:00,6.23862371222e-05,5.968054601821106,5.968054601821106
2023-01-03 02:00:00,5.68421389506e-05,5.437689538431327,5.437689538431327
2023-01-03 03:00:00,5.66919261688e-05,5.423319733085994,5.423319733085994
2023-01-03 04:00:00,6.00608689454e-05,5.745602905923884,5.745602905923884
2023-01-03 05:00:00,7.65587887549e-05,7.323843408660106,7.323843408660106
2023-01-03 06:00:00,0.000130971247469,12.52910244662713,12.52910244662713
2023-01-03 07:00:00,0.000163675252131,15.657665644608082,15.657665644608082
2023-01-03 08:00:00,0.000125446819357,12.000619080148867,12.000619080148867
2023-01-03 09:00:00,0.000112341480389,10.746923038453064,10.746923038453064
2023-01-03 10:00:00,8.52763807489e-05,8.15779441158214,8.15779441158214
