time_h,fixed_load_kwh,pvmax_kwh,ev_asap_kwh,ev_smart_kwh,grid_baseline_kw,grid_smart_kw,bess_ch_smart_kwh,bess_dch_smart_kwh,battery_energy_smart_kwh
0.0,1.6480801887240928,0.0,0.0,0.0,6.592320754896371,6.592320754896371,0.0,0.0,3.2880000000000003
0.25,1.6480801887240928,0.0,0.0,0.0,6.592320754896371,6.592320754896371,0.0,0.0,3.2880000000000003
0.5,1.6480801887240928,0.0,0.0,0.0,6.592320754896371,6.592320754896371,0.0,0.0,3.2880000000000003
0.75,1.6480801887240928,0.0,0.0,0.0,6.592320754896371,6.592320754896371,0.0,0.0,3.2880000000000003
1.0,1.5005759741197475,0.0,0.0,0.0,6.00230389647899,6.00230389647899,0.0,0.0,3.2880000000000003
1.25,1.5005759741197475,0.0,0.0,0.0,6.00230389647899,6.00230389647899,0.0,0.0,3.2880000000000003
1.5,1.5005759741197475,0.0,0.0,0.0,6.00230389647899,6.00230389647899,0.0,0.0,3.2880000000000003
1.75,1.5005759741197475,0.0,0.0,0.0,6.00230389647899,6.00230389647899,0.0,0.0,3.2880000000000003
2.0,1.4862217592102898,0.0,0.0,0.0,5.944887036841159,5.944887036841159,0.0,0.0,3.2880000000000003
2.25,1.4862217592102898,0.0,0.0,0.0,5.944887036841159,5.944887036841159,0.0,0.0,3.2880000000000003
2.5,1.4862217592102898,0.0,0.0,0.0,5.944887036841159,5.944887036841159,0.0,0.0,3.2880000000000003
2.75,1.4862217592102898,0.0,0.0,0.0,5.944887036841159,5.944887036841159,0.0,0.0,3.2880000000000003
3.0,1.565871867270649,0.0,0.0,0.0,6.263487469082596,6.263487469082596,0.0,0.0,3.2880000000000003
3.25,1.565871867270649,0.0,0.0,0.0,6.263487469082596,6.263487469082596,0.0,0.0,3.2880000000000003
3.5,1.565871867270649,0.0,0.0,0.0,6.263487469082596,6.263487469082596,0.0,0.0,3.2880000000000003
3.75,1.565871867270649,0.0,0.0,0.0,6.263487469082596,6.263487469082596,0.0,0.0,3.2880000000000003
4.0,1.785013941949576,0.10740200000000001,0.0,0.0,6.710447767798304,6.710447767798304,0.0,0.0,3.2880000000000003
4.25,1.785013941949576,0.10740200000000001,0.0,0.0,6.710447767798304,6.710447767798304,0.0,0.0,3.2880000000000003
4.5,1.785013941949576,0.10740200000000001,0.0,0.0,6.710447767798304,6.710447767798304,0.0,0.0,3.2880000000000003
4.75,1.785013941949576,0.10740200000000001,0.0,0.0,6.710447767798304,6.710447767798304,0.0,0.0,3.2880000000000003
5.0,3.0484315253393626,2.28504225,0.0,0.0,3.05355710135745,3.05355710135745,0.0,0.0,3.2880000000000003
5.25,3.0484315253393626,2.28504225,0.0,0.0,3.05355710135745,3.05355710135745,0.0,0.0,3.2880000000000003
5.5,3.0484315253393626,2.28504225,0.0,0.0,3.05355710135745,3.05355710135745,0.0,0.0,3.2880000000000003
5.75,3.0484315253393626,2.28504225,0.37168141592920356,0.0,4.540282765074265,3.05355710135745,0.0,0.0,3.2880000000000003
6.0,3.845924754682141,5.19007225,0.4646017699115044,0.0,-3.552713678800501e-15,0.0,1.3441474953178587,0.0,4.497732745786073
6.25,3.845924754682141,5.19007225,0.4646017699115044,0.0,-3.552713678800501e-15,0.0,1.3441474953178587,0.0,5.707465491572146
6.5,3.845924754682141,5.19007225,0.7758858166041114,0.0,0.0,0.0,1.3441474953178587,0.0,6.917198237358219
6.75,3.845924754682141,5.19007225,1.0482593574601426,1.3441474953178587,0.0,0.0,0.0,0.0,6.917198237358219
7.0,3.3745886445587976,7.94111625,2.971154656324603,4.566527605441202,-6.381491796466399,-3.552713678800501e-15,0.0,0.0,6.917198237358219
7.25,3.3745886445587976,7.94111625,6.027437410080699,4.566527605441204,3.634337512233259,3.552713678800501e-15,0.0,0.0,6.917198237358219
7.5,3.3745886445587976,7.94111625,7.066320281812094,4.566527605441202,9.999170705483564,-3.552713678800501e-15,0.0,0.0,6.917198237358219
7.75,3.3745886445587976,7.94111625,7.11247412796594,4.566527605441202,10.183786090098948,-3.552713678800501e-15,0.0,0.0,6.917198237358219
8.0,3.123469770756316,9.813696,7.4124741279659405,6.690226229243686,2.8889915948890277,7.105427357601002e-15,0.0,0.0,6.917198237358219
8.25,3.123469770756316,9.813696,8.036283651775463,6.6704324809952205,5.384229690127114,7.105427357601002e-15,0.019793748248465286,0.0,6.935012610781838
8.5,3.123469770756316,9.813696,10.414703386355244,6.690226229243686,14.897908628446238,7.105427357601002e-15,0.0,0.0,6.935012610781838
8.75,3.123469770756316,9.813696,13.050869088870067,5.852191059545722,25.44257143850554,1.4210854715202004e-14,0.8380351696979651,0.0,7.689244263510006
9.0,2.4998095866270864,11.3060015,17.132480896108646,8.806191913372913,33.30515593094293,0.0,0.0,0.0,7.689244263510006
9.25,2.4998095866270864,11.3060015,18.043610653503745,8.806191913372913,36.949674960523325,0.0,0.0,0.0,7.689244263510006
9.5,2.4998095866270864,11.3060015,19.272137374258158,8.806191913372912,41.86378184354098,-1.4210854715202004e-14,0.0,0.0,7.689244263510006
9.75,2.4998095866270864,11.3060015,19.64470821541307,8.806191913372913,43.35406520816062,0.0,0.0,0.0,7.689244263510006
10.0,2.510202117578651,11.27381325,19.45033286991832,8.76361113242135,42.74688694998788,0.0,0.0,0.0,7.689244263510006
10.25,2.510202117578651,11.27381325,19.406616622097594,8.76361113242135,42.57202195870498,0.0,0.0,0.0,7.689244263510006
10.5,2.510202117578651,11.27381325,23.56869489470218,8.76361113242135,52.930335049123315,0.0,0.0,0.0,7.689244263510006
10.75,2.510202117578651,11.27381325,20.458475076381678,8.76361113242135,46.77945577584131,0.0,0.0,0.0,7.689244263510006
11.0,2.525957475916514,11.89881525,19.683300829716483,20.072579055009648,41.241772222531985,42.79888512370464,0.0,0.0,7.689244263510006
11.25,2.525957475916514,11.89881525,19.439640278787152,20.07257905500964,40.26713001881466,42.798885123704615,0.0,0.0,7.689244263510006
11.5,2.525957475916514,11.89881525,19.081074541735358,20.072579055009644,38.832867070607485,42.79888512370463,0.0,0.0,7.689244263510006
11.75,2.525957475916514,11.89881525,19.081074541735358,20.072579055009644,38.832867070607485,42.79888512370463,0.0,0.0,7.689244263510006
12.0,2.455429545773125,10.45374075,18.03481119653963,18.698032485153036,40.145999969251015,42.79888512370464,0.0,0.0,7.689244263510006
12.25,2.455429545773125,10.45374075,17.61486234060431,18.698032485153032,38.46620454550975,42.79888512370463,0.0,0.0,7.689244263510006
12.5,2.455429545773125,10.45374075,15.868622875056511,18.698032485153032,31.481246683318552,42.79888512370463,0.0,0.0,7.689244263510006
12.75,2.455429545773125,10.45374075,13.814541117234125,18.698032485153032,23.264919652029,42.79888512370463,0.0,0.0,7.689244263510006
13.0,2.373167672354041,8.2638075,12.744396189697895,16.590361108572118,33.70502544820774,42.79888512370463,0.0,0.0,7.689244263510006
13.25,2.373167672354041,8.2638075,11.949564148354224,15.017861108572117,30.525697282833057,42.79888512370463,1.5725,0.0,9.104494263510006
13.5,2.373167672354041,8.2638075,11.305717490172267,15.017861108572113,27.782858716462137,42.798885123704615,1.5725,0.0,10.519744263510006
13.75,2.373167672354041,8.2638075,9.84333244569767,16.590361108572118,22.10077047220684,42.79888512370463,0.0,0.0,10.519744263510006
14.0,2.2974173634359576,8.646831500000001,8.590807193172418,17.0491354174902,8.965572226433501,42.79888512370462,0.0,0.0,10.519744263510006
14.25,2.2974173634359576,8.646831500000001,8.243868417662213,17.0491354174902,7.577817124392681,42.79888512370462,0.0,0.0,10.519744263510006
14.5,2.2974173634359576,8.646831500000001,7.215217427225986,17.0491354174902,3.4632131626477687,42.79888512370462,0.0,0.0,10.519744263510006
14.75,2.2974173634359576,8.646831500000001,6.419952629718199,15.4766354174902,0.28215397261661934,42.798885123704636,1.5725,0.0,11.934994263510006
15.0,2.633789819048155,6.4910275,5.68418638276941,14.556958961878003,7.307794807270259,42.79888512370462,0.0,0.0,11.934994263510006
15.25,2.633789819048155,6.4910275,3.5541004251923343,14.556958961878003,-3.552713678800501e-15,42.79888512370462,0.0,0.0,11.934994263510006
15.5,2.633789819048155,6.4910275,2.409679671816357,14.556958961878003,0.0,42.79888512370462,0.0,0.0,11.934994263510006
15.75,2.633789819048155,6.4910275,1.908187134502924,14.556958961878006,-1.5062021857956864,42.798885123704636,0.0,0.0,11.934994263510006
16.0,3.097028653900006,4.44925725,1.908187134502924,1.3522285960999931,2.2238341536117225,-3.552713678800501e-15,0.0,0.0,11.934994263510006
16.25,3.097028653900006,4.44925725,1.6303703703703705,0.0,1.1125670970815058,-3.552713678800501e-15,1.3522285960999931,0.0,13.152000000000001
16.5,3.097028653900006,4.44925725,0.6578947368421053,1.3522285960999931,0.0,-3.552713678800501e-15,0.0,0.0,13.152000000000001
16.75,3.097028653900006,4.44925725,0.6578947368421053,1.3522285960999931,0.0,-3.552713678800501e-15,0.0,0.0,13.152000000000001
17.0,4.067406455329439,1.63933625,0.6578947368421053,0.0,12.343859768686178,9.712280821317757,0.0,0.0,13.152000000000001
17.25,4.067406455329439,1.63933625,0.6578947368421053,0.0,12.343859768686178,9.712280821317757,0.0,0.0,13.152000000000001
17.5,4.067406455329439,1.63933625,0.6578947368421053,0.0,12.343859768686178,9.712280821317757,0.0,0.0,13.152000000000001
17.75,4.067406455329439,1.63933625,0.6578947368421053,0.0,12.343859768686178,9.712280821317757,0.0,0.0,13.152000000000001
18.0,4.249820611239221,0.27788650000000004,0.6578947368421053,0.0,18.519315392325304,15.887736444956882,0.0,0.0,13.152000000000001
18.25,4.249820611239221,0.27788650000000004,0.1754385964912281,0.0,16.589490830921793,15.887736444956882,0.0,0.0,13.152000000000001
18.5,4.249820611239221,0.27788650000000004,0.0,0.0,15.887736444956882,15.887736444956882,0.0,0.0,13.152000000000001
18.75,4.249820611239221,0.27788650000000004,0.0,0.0,15.887736444956882,15.887736444956882,0.0,0.0,13.152000000000001
19.0,4.576941341776985,0.0,0.0,0.0,12.017765367107941,12.017765367107941,0.0,1.5725,11.40477777777778
19.25,4.576941341776985,0.0,0.0,0.0,12.017765367107941,12.017765367107941,0.0,1.5725,9.657555555555557
19.5,4.576941341776985,0.0,0.0,0.0,12.017765367107941,12.017765367107941,0.0,1.5725,7.910333333333336
19.75,4.576941341776985,0.0,0.0,0.0,12.017765367107941,12.017765367107941,0.0,1.5725,6.163111111111114
20.0,4.307485955371273,0.0,0.0,0.0,17.229943821485094,13.169543821485094,0.0,1.0151,5.035222222222225
20.25,4.307485955371273,0.0,0.0,0.0,10.939943821485095,17.229943821485094,0.0,0.0,5.035222222222225
20.5,4.307485955371273,0.0,0.0,0.0,17.229943821485094,17.229943821485094,0.0,0.0,5.035222222222225
20.75,4.307485955371273,0.0,0.0,0.0,13.169543821485089,10.939943821485095,0.0,1.5725,3.2880000000000025
21.0,3.386784672334224,0.0,0.0,0.0,13.547138689336895,13.547138689336895,0.0,0.0,3.2880000000000025
21.25,3.386784672334224,0.0,0.0,0.0,13.547138689336895,13.547138689336895,0.0,0.0,3.2880000000000025
21.5,3.386784672334224,0.0,0.0,0.0,13.547138689336895,13.547138689336895,0.0,0.0,3.2880000000000025
21.75,3.386784672334224,0.0,0.0,0.0,13.547138689336895,13.547138689336895,0.0,0.0,3.2880000000000025
22.0,2.34087860032261,0.0,0.0,0.0,9.36351440129044,9.36351440129044,0.0,0.0,3.2880000000000025
22.25,2.34087860032261,0.0,0.0,0.0,9.36351440129044,9.36351440129044,0.0,0.0,3.2880000000000025
22.5,2.34087860032261,0.0,0.0,0.0,9.36351440129044,9.36351440129044,0.0,0.0,3.2880000000000025
22.75,2.34087860032261,0.0,0.0,0.0,9.36351440129044,9.36351440129044,0.0,0.0,3.2880000000000025
23.0,1.8092173340384863,0.0,0.0,0.0,7.236869336153945,7.236869336153945,0.0,0.0,3.2880000000000025
23.25,1.8092173340384863,0.0,0.0,0.0,7.236869336153945,7.236869336153945,0.0,0.0,3.2880000000000025
23.5,1.8092173340384863,0.0,0.0,0.0,7.236869336153945,7.236869336153945,0.0,0.0,3.2880000000000025
23.75,1.8092173340384863,0.0,0.0,0.0,7.236869336153945,7.236869336153945,0.0,0.0,3.2880000000000025
